,Des_1,shotDist,shotAng,isShot,isOnTarget,isGoal,isHeader,isBigChance,isCounter,isTapIn,isThroughball,goalLoc
1056,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s16
1058,B6,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,1,s22
1064,B6,3.0,90.0,1,1,0,1,0,0,0,0,s15
1066,TG,2.0,90.0,1,1,1,0,0,0,0,0,s22
1068,B6,2.0,90.0,1,1,1,0,1,0,1,0,s19
1069,TG,1.0,90.0,1,1,1,0,0,0,0,0,s17
1072,TB,1.0,90.0,1,1,1,0,1,0,0,0,s19
1074,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s8
1078,TG,2.0,90.0,1,1,1,0,0,0,0,0,s16
1081,TB,2.0,90.0,1,1,1,0,1,0,0,0,s23
1083,TB,2.23606797749979,63.43494882292201,1,1,1,1,1,0,0,0,s5
1086,TB,2.0,90.0,1,1,0,0,1,0,0,0,s10
1087,B6,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,OT 5
1088,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s15
1090,B6,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,0,s22
1093,TB,1.0,90.0,1,1,0,0,1,0,0,1,s17
1096,B6,3.605551275463989,33.69006752597979,1,0,0,0,0,0,0,0,s13
1098,B6,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,0,s22
1102,B6,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,1,0,s10
1103,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s16
1113,TG,1.0,90.0,1,1,1,0,0,0,0,0,s21
1114,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s22
1116,B6,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s10
1122,B6,3.0,90.0,1,1,1,0,0,0,0,0,s17
1123,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s8
1125,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s17
1128,TB,5.0,90.0,1,0,0,0,0,0,0,0,OT 4
1138,TB,2.0,90.0,1,1,0,0,0,0,0,1,s16
1142,TG,1.0,90.0,1,1,1,0,0,0,0,0,s14
1143,TB,2.23606797749979,26.56505117707799,1,1,1,0,0,0,0,0,s13
1147,B6,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s10
1148,TG,11.0,90.0,1,1,1,0,0,0,0,0,s14
1149,TG,1.0,90.0,1,1,1,0,1,0,0,0,s16
1157,TG,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,0,s10
1161,B6,5.0990195135927845,78.6900675259798,1,1,0,0,0,0,0,0,s10
1163,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s13
1165,TG,2.0,90.0,1,1,1,0,0,0,0,0,s23
1167,B6,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s20
1171,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s22
1173,B6,3.0,90.0,1,1,0,0,0,0,0,0,s16
1178,B6,4.0,90.0,1,1,1,0,0,0,0,0,s12
1187,TB,2.0,90.0,1,1,1,0,0,0,0,0,s22
1189,B6,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,OT 8
1190,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s18
1197,TG,2.0,90.0,1,1,1,0,0,0,0,0,s8
1205,TB,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s16
1210,TG,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s10
1220,TB,3.0,90.0,1,1,1,0,0,0,0,0,s17
1226,TG,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s20
1229,B3,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s5
1234,B2,2.0,90.0,1,1,0,0,0,0,0,0,s20
1240,TB,2.0,90.0,1,1,1,0,1,0,0,1,s23
1242,TG,2.0,90.0,1,1,1,0,0,0,0,1,s16
1256,B2,6.324555320336759,71.56505117707799,1,1,0,0,0,0,0,0,s17
1265,G1,5.656854249492381,44.99999999999999,1,0,0,0,0,0,0,0,s18
1267,G1,1.0,90.0,1,1,0,0,1,0,0,1,s20
1270,B3,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s9
1274,G1,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s22
1275,TB,1.0,90.0,1,1,1,0,0,0,0,0,s23
1280,B2,6.324555320336759,71.56505117707799,1,0,0,0,0,0,0,0,s7
1282,B2,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,0,s20
1284,TG,5.656854249492381,44.99999999999999,1,1,0,0,0,0,0,0,s22
1286,B1,2.0,90.0,1,0,0,0,0,0,0,0,OT 8
1293,G1,5.0990195135927845,78.6900675259798,1,1,1,0,0,0,0,0,s16
1296,TB,2.0,90.0,1,1,0,0,0,0,0,0,s9
1304,TG,4.123105625617661,75.96375653207352,1,1,1,0,0,0,0,0,s4
1310,TB,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s24
1324,TG,8.06225774829855,60.255118703057796,1,1,1,0,0,0,0,0,s17
1330,B1,2.23606797749979,63.43494882292201,1,1,1,0,1,1,0,0,s19
1335,TB,1.0,90.0,1,1,1,0,0,0,0,0,s23
1349,B3,4.47213595499958,63.43494882292201,1,1,0,0,0,0,0,0,s10
1357,G1,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s22
1363,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s4
1367,TB,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s24
1378,G1,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,s18
1387,TB,2.0,90.0,1,1,1,0,1,0,0,1,s20
1390,TG,5.0990195135927845,78.6900675259798,1,1,0,0,0,0,0,0,s21
1391,G1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s20
1396,B2,4.242640687119285,45.00000000000001,1,1,0,0,0,0,0,0,s21
1397,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s5
1401,G1,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s20
1412,TG,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s16
1416,TB,3.0,90.0,1,0,0,0,1,0,0,0,s2
1417,B1,4.0,90.0,1,1,0,0,0,0,0,0,s17
1426,G1,6.0,90.0,1,0,0,0,0,0,0,0,OT 1
1431,TB,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,0,OT 1
1435,B1,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,1,0,s9
1440,B1,4.242640687119285,45.00000000000001,1,1,1,0,0,0,0,0,s14
1441,TG,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s11
1443,B1,4.242640687119285,45.00000000000001,1,0,0,1,0,0,0,1,OT 3
1445,TB,2.0,90.0,1,1,0,0,0,0,0,0,s14
1447,B1,3.1622776601683795,71.56505117707799,1,1,1,0,1,0,0,0,s14
1452,B6,3.605551275463989,56.30993247402022,1,1,0,0,0,0,0,0,s17
1453,B6,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 8
1454,B3,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s10
1468,B3,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,OT 6
1470,B3,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s17
1472,B5,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s16
1477,B1,6.4031242374328485,51.34019174590991,1,0,0,0,0,0,0,0,OT 3
1482,B1,3.0,90.0,1,1,0,0,1,0,0,0,s16
1485,B3,1.0,90.0,1,1,1,0,1,0,0,0,s22
1486,B3,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s20
1489,B1,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 8
1493,B3,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,0,s22
1499,B3,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,OT 4
1501,B1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s16
1502,B1,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s11
1503,B6,6.082762530298219,80.53767779197439,1,0,0,0,0,0,0,0,OT 4
1505,B3,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s15
1509,B5,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,OT 4
1512,B3,3.0,90.0,1,0,0,0,0,0,0,0,s18
1517,B2,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s15
1524,B5,3.605551275463989,33.69006752597979,1,0,0,0,0,0,0,0,OT 8
1527,B5,4.47213595499958,63.43494882292201,1,1,1,0,0,1,0,0,s11
1528,B2,2.0,90.0,1,1,1,0,1,0,1,0,s11
1529,B6,7.0710678118654755,81.869897645844,1,1,1,0,0,0,0,0,s10
1540,B5,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,OT 2
1543,B5,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 1
1545,B3,5.385164807134504,68.19859051364821,1,1,1,0,0,0,0,0,s16
1546,B3,5.0,90.0,1,1,0,0,0,0,0,0,s10
1548,B6,6.0,90.0,1,1,0,0,0,0,0,0,s12
1558,B1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s23
1561,B3,2.0,90.0,1,1,1,0,0,0,0,0,s18
1562,B3,5.0990195135927845,78.6900675259798,1,0,0,0,0,0,0,0,OT 1
1563,B3,7.280109889280518,74.05460409907715,1,1,1,0,0,0,0,0,s20
1572,B1,7.211102550927978,56.30993247402022,1,0,0,0,0,0,0,0,OT 6
1573,B3,4.242640687119285,45.00000000000001,1,1,1,0,0,0,0,0,s19
1575,B3,6.0,90.0,1,0,0,0,0,0,0,0,OT 1
1576,B3,4.47213595499958,26.56505117707799,1,1,1,0,0,0,0,0,s13
1579,B1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s16
1580,B5,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,OT 8
1584,B5,4.242640687119285,45.00000000000001,1,0,0,0,0,0,0,0,OT 1
1587,B5,2.23606797749979,63.43494882292201,1,0,0,0,0,0,0,0,OT 5
1591,B3,2.23606797749979,26.56505117707799,1,0,0,0,0,0,0,0,OT 1
1599,TB,2.8284271247461903,44.99999999999999,1,1,1,0,1,0,0,1,s13
1605,G1,3.0,90.0,1,0,0,0,0,0,0,0,OT 8
1607,TB,2.0,90.0,1,1,1,0,0,0,0,1,s20
1618,B4,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s16
1622,B4,6.082762530298219,80.53767779197439,1,1,0,0,0,0,0,0,s21
1634,TB,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s16
1636,G1,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s10
1638,B4,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,s6
1645,TB,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s20
1647,G1,4.242640687119285,45.00000000000001,1,1,0,0,0,0,0,0,s15
1651,G1,1.0,90.0,1,0,0,0,0,0,0,0,s18
1652,TB,1.0,90.0,1,1,1,0,0,0,0,0,s21
1654,TB,4.242640687119285,45.00000000000001,1,0,0,0,0,0,0,1,s6
1655,TB,3.0,90.0,1,1,1,0,0,0,0,0,s20
1660,B4,3.0,90.0,1,1,1,0,1,0,0,0,s2
1674,G1,4.0,90.0,1,0,0,0,0,0,0,0,OT 7
1687,B4,4.123105625617661,75.96375653207352,1,0,0,0,0,0,0,0,OT 6
1691,B2,6.324555320336759,71.56505117707799,1,0,0,0,0,0,0,0,OT 6
1698,G1,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s10
1699,G1,6.082762530298219,80.53767779197439,1,0,0,0,0,0,0,0,OT 6
1701,G4,3.0,90.0,1,1,1,0,1,0,0,0,s7
1707,G3,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s17
1716,TB,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,1,0,s11
1718,TB,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s22
1721,TB,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s14
1723,TB,1.0,90.0,1,1,1,0,1,0,1,0,s22
1731,G3,4.47213595499958,63.43494882292201,1,0,0,0,0,0,0,0,OT 6
1735,TB,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s20
1736,G3,1.0,90.0,1,1,0,1,0,0,0,0,s23
1737,G1,2.0,90.0,1,1,1,0,0,0,0,0,s21
1740,TB,3.0,90.0,1,1,1,0,0,0,0,0,s21
1743,G3,5.0,36.86989764584402,1,1,0,0,0,0,0,0,s10
1745,G4,2.0,90.0,1,1,0,0,0,0,0,0,s17
1748,G3,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s5
1749,G3,5.656854249492381,44.99999999999999,1,1,0,0,0,0,0,0,s9
1756,TB,1.0,90.0,1,1,1,0,0,0,0,0,s22
1760,G4,6.082762530298219,80.53767779197439,1,0,0,0,0,0,0,0,OT 5
1774,G3,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s11
1775,G4,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s17
1777,TG,1.0,90.0,1,1,1,0,0,0,0,0,s22
1780,TB,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s22
1781,G4,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s9
1782,G4,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s9
1783,TB,1.0,90.0,1,1,1,0,0,0,1,0,s21
1789,TG,1.4142135623730951,44.99999999999999,1,1,1,0,1,0,0,0,s22
1792,B5,4.123105625617661,75.96375653207352,1,0,0,0,0,0,0,0,s13
1793,TG,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s13
1796,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s16
1797,TG,5.385164807134504,68.19859051364821,1,1,1,0,0,0,0,0,s8
1799,B5,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 8
1804,TB,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s22
1807,B1,5.0,53.13010235415599,1,1,0,0,0,0,0,0,s5
1808,B3,2.23606797749979,63.43494882292201,1,1,0,0,0,0,0,0,s21
1809,TG,1.0,90.0,1,1,1,0,0,0,0,0,s20
1813,B1,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s22
1817,TB,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s20
1821,B1,1.4142135623730951,44.99999999999999,1,0,0,0,0,0,0,1,OT 1
1827,B5,4.47213595499958,26.56505117707799,1,0,0,0,0,0,0,0,s13
1828,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s14
1831,B1,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,0,OT 4
1835,TB,3.605551275463989,56.30993247402022,1,1,1,0,0,0,0,0,s14
1836,TG,2.23606797749979,63.43494882292201,1,1,1,0,0,0,0,0,s16
1839,B5,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s16
1841,B5,5.0,36.86989764584402,1,0,0,0,0,0,0,0,OT 8
1845,B5,6.324555320336759,71.56505117707799,1,0,0,0,0,0,0,0,OT 1
1849,B5,3.1622776601683795,71.56505117707799,1,1,0,0,0,0,0,0,s22
1850,B5,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s22
1851,TG,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s18
1854,B5,4.47213595499958,63.43494882292201,1,1,1,0,1,0,0,0,s14
1860,B5,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,OT 6
1864,TB,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s21
1874,TB,2.23606797749979,63.43494882292201,1,1,1,0,1,0,1,0,s9
1881,B5,5.656854249492381,44.99999999999999,1,0,0,0,0,0,0,0,s6
1882,B5,9.0,90.0,1,1,1,0,0,0,0,0,s16
1889,B3,3.1622776601683795,71.56505117707799,1,1,1,0,1,0,0,0,s17
1892,B1,2.0,90.0,1,1,1,0,1,0,1,0,s21
1893,TG,2.8284271247461903,44.99999999999999,1,1,1,0,0,0,0,0,s7
1895,B1,2.8284271247461903,44.99999999999999,1,0,0,0,0,0,0,0,OT 1
1896,TG,3.1622776601683795,71.56505117707799,1,1,1,0,0,0,0,0,s8
1899,TG,3.0,90.0,1,1,1,0,0,0,0,0,s9
1905,B3,1.4142135623730951,44.99999999999999,1,1,1,0,0,0,0,0,s22
1907,B5,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,1,OT 1
1910,B5,5.656854249492381,44.99999999999999,1,1,1,0,0,0,0,0,s9
1918,B4,4.123105625617661,75.96375653207352,1,1,0,0,0,0,0,0,s15
1924,B4,2.0,90.0,1,1,0,0,1,0,0,0,s17
1927,TB,2.23606797749979,26.56505117707799,1,1,0,0,1,0,0,0,s17
1930,B4,5.0,53.13010235415599,1,1,0,0,0,0,0,0,s9
1936,TB,5.0,53.13010235415599,1,0,0,0,0,0,0,0,s4
1938,TG,2.23606797749979,63.43494882292201,1,0,0,0,1,0,0,0,OT 1
1943,TB,3.605551275463989,56.30993247402022,1,0,0,0,0,0,0,0,OT 2
1945,TG,4.242640687119285,45.00000000000001,1,1,0,0,0,0,0,0,s11
1973,TB,3.0,90.0,1,1,0,0,1,0,0,0,s15
1976,B4,4.123105625617661,75.96375653207352,1,0,0,0,0,0,0,0,OT 2
1983,TG,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,OT 1
1989,G3,2.0,90.0,1,0,0,0,1,0,0,0,OT 1
1992,TB,3.1622776601683795,71.56505117707799,1,1,1,0,1,0,0,0,s17
1996,B4,3.1622776601683795,71.56505117707799,1,0,0,0,1,0,0,0,OT 1
2001,TB,3.1622776601683795,71.56505117707799,1,1,0,0,1,0,0,0,s10
2005,B4,2.23606797749979,63.43494882292201,1,0,0,0,1,0,0,0,OT 3
2007,TG,3.1622776601683795,71.56505117707799,1,1,0,0,1,0,0,0,s15
2010,TB,2.23606797749979,63.43494882292201,1,1,1,0,0,1,1,0,s21
2017,G3,2.23606797749979,63.43494882292201,1,1,1,0,1,0,0,0,s14
2021,G3,5.0,90.0,1,1,0,0,0,0,0,0,s20
2028,B4,5.0,53.13010235415599,1,0,0,0,0,0,0,0,OT 7
2031,TB,2.8284271247461903,44.99999999999999,1,1,0,0,0,0,0,0,s11
2033,B4,3.1622776601683795,71.56505117707799,1,0,0,0,0,0,0,0,s18
2036,TB,3.1622776601683795,71.56505117707799,1,1,0,0,1,0,0,0,s22
2037,TB,2.23606797749979,63.43494882292201,1,1,0,0,1,0,0,0,s16
